Date,Open,High,Low,Close,Volume
29567,0.513393,0.515625,0.513393,0.513393,117258400
29570,0.488839,0.488839,0.486607,0.486607,43971200
29571,0.453125,0.453125,0.450893,0.450893,26432000
29572,0.462054,0.464286,0.462054,0.462054,21610400
29573,0.475446,0.477679,0.475446,0.475446,18362400
29574,0.504464,0.506696,0.504464,0.504464,12157600
29577,0.529018,0.53125,0.529018,0.529018,9340800
29578,0.551339,0.553571,0.551339,0.551339,11737600
29579,0.580357,0.582589,0.580357,0.580357,12000800
29581,0.633929,0.636161,0.633929,0.633929,13893600
29584,0.642857,0.645089,0.642857,0.642857,23290400
29585,0.629464,0.629464,0.627232,0.627232,17220000
29586,0.611607,0.611607,0.609375,0.609375,8937600
29588,0.616071,0.620536,0.616071,0.616071,5415200
29591,0.604911,0.604911,0.602679,0.602679,8932000
29592,0.578125,0.578125,0.575893,0.575893,11289600
29593,0.553571,0.553571,0.551339,0.551339,13921600
29594,0.542411,0.542411,0.540179,0.540179,9956800
29595,0.569196,0.571429,0.569196,0.569196,5376000
29598,0.569196,0.569196,0.564732,0.564732,5924800
29599,0.546875,0.546875,0.544643,0.544643,5762400
29600,0.546875,0.549107,0.546875,0.546875,3572800
29601,0.558036,0.5625,0.558036,0.558036,3516800
29602,0.555804,0.555804,0.553571,0.553571,3348800
29605,0.587054,0.589286,0.587054,0.587054,10393600
29606,0.571429,0.571429,0.569196,0.569196,7520800
29607,0.580357,0.584821,0.580357,0.580357,3976000
29608,0.587054,0.591518,0.587054,0.587054,8887200
29609,0.587054,0.589286,0.584821,0.584821,2805600
29612,0.578125,0.578125,0.575893,0.575893,6160000
29613,0.575893,0.575893,0.571429,0.571429,5924800
29614,0.555804,0.555804,0.553571,0.553571,7039200
29615,0.535714,0.535714,0.533482,0.533482,10976000
29616,0.508929,0.508929,0.504464,0.504464,11547200
29619,0.477679,0.477679,0.475446,0.475446,5941600
29620,0.493304,0.495536,0.493304,0.493304,4788000
29621,0.511161,0.513393,0.511161,0.511161,6966400
29622,0.511161,0.515625,0.511161,0.511161,1982400
29623,0.513393,0.515625,0.513393,0.513393,3466400
29626,0.491071,0.491071,0.486607,0.486607,4188800
29627,0.486607,0.488839,0.486607,0.486607,4586400
29628,0.473214,0.473214,0.470982,0.470982,3460800
29629,0.46875,0.46875,0.466518,0.466518,3640000
29630,0.459821,0.459821,0.455357,0.455357,2788800
29634,0.466518,0.46875,0.466518,0.466518,3068800
29635,0.486607,0.491071,0.486607,0.486607,4810400
29636,0.459821,0.459821,0.457589,0.457589,5577600
29637,0.435268,0.435268,0.433036,0.433036,6092800
29640,0.439732,0.441964,0.439732,0.439732,3528000
29641,0.428571,0.428571,0.424107,0.424107,4244800
29642,0.450893,0.453125,0.450893,0.450893,4872000
29643,0.457589,0.459821,0.457589,0.457589,2710400
29644,0.473214,0.477679,0.473214,0.473214,3690400
29647,0.475446,0.477679,0.475446,0.475446,2940000
29648,0.470982,0.470982,0.46875,0.46875,4043200
29649,0.466518,0.466518,0.464286,0.464286,3427200
29650,0.464286,0.464286,0.462054,0.462054,1344000
29651,0.462054,0.462054,0.457589,0.457589,2900800
29654,0.424107,0.424107,0.421875,0.421875,3830400
29655,0.404018,0.404018,0.401786,0.401786,7095200
29656,0.390625,0.390625,0.386161,0.386161,7464800
29657,0.401786,0.404018,0.401786,0.401786,14812000
29658,0.399554,0.399554,0.397321,0.397321,57825600
29661,0.412946,0.417411,0.412946,0.412946,9307200
29662,0.433036,0.4375,0.433036,0.433036,10936800
29663,0.459821,0.464286,0.459821,0.459821,9234400
29664,0.457589,0.457589,0.455357,0.455357,9452800
29665,0.459821,0.464286,0.459821,0.459821,3651200
29668,0.477679,0.482143,0.477679,0.477679,5504800
29669,0.477679,0.477679,0.475446,0.475446,7039200
29670,0.470982,0.470982,0.466518,0.466518,1764000
29671,0.459821,0.459821,0.457589,0.457589,3068800
29672,0.444196,0.444196,0.441964,0.441964,3063200
29675,0.441964,0.446429,0.441964,0.441964,2475200
29676,0.441964,0.441964,0.4375,0.4375,3998400
29677,0.435268,0.435268,0.433036,0.433036,8517600
29678,0.470982,0.473214,0.470982,0.470982,7851200
29679,0.473214,0.475446,0.473214,0.473214,4121600
29682,0.466518,0.466518,0.464286,0.464286,5700800
29683,0.462054,0.462054,0.459821,0.459821,2671200
29684,0.482143,0.486607,0.482143,0.482143,5488000
29685,0.491071,0.493304,0.491071,0.491071,3124800
29686,0.497768,0.5,0.497768,0.497768,8366400
29689,0.497768,0.5,0.497768,0.497768,4015200
29690,0.497768,0.5,0.497768,0.497768,1663200
29691,0.475446,0.475446,0.473214,0.473214,8512000
29692,0.448661,0.448661,0.446429,0.446429,5969600
29696,0.459821,0.462054,0.459821,0.459821,8836800
29697,0.491071,0.493304,0.491071,0.491071,7134400
29698,0.508929,0.511161,0.508929,0.508929,4748800
29699,0.522321,0.524554,0.522321,0.522321,14504000
29700,0.522321,0.522321,0.517857,0.517857,8764000
29703,0.515625,0.515625,0.513393,0.513393,9632000
29704,0.506696,0.506696,0.504464,0.504464,8047200
29705,0.5,0.5,0.497768,0.497768,3410400
29706,0.506696,0.511161,0.506696,0.506696,3152800
29707,0.506696,0.511161,0.506696,0.506696,4138400
29710,0.506696,0.506696,0.504464,0.504464,3612000
29711,0.504464,0.504464,0.502232,0.502232,4384800
29712,0.491071,0.491071,0.488839,0.488839,4737600
29713,0.495536,0.497768,0.495536,0.495536,2340800
29714,0.5,0.502232,0.5,0.5,1976800
29717,0.491071,0.491071,0.488839,0.488839,2984800
29718,0.488839,0.495536,0.488839,0.488839,1064000
29719,0.488839,0.493304,0.486607,0.486607,1226400
29720,0.484375,0.484375,0.479911,0.479911,1232000
29721,0.491071,0.497768,0.491071,0.491071,1226400
29724,0.5,0.504464,0.5,0.5,1041600
29725,0.493304,0.493304,0.491071,0.491071,6356000
29726,0.506696,0.511161,0.506696,0.506696,3320800
29727,0.535714,0.537946,0.535714,0.535714,8052800
29728,0.560268,0.564732,0.560268,0.560268,7856800
29732,0.560268,0.560268,0.558036,0.558036,21336000
29733,0.589286,0.591518,0.589286,0.589286,37374400
29734,0.589286,0.591518,0.589286,0.589286,18496800
29735,0.591518,0.59375,0.591518,0.591518,14845600
29738,0.591518,0.59375,0.591518,0.591518,12812800
29739,0.564732,0.564732,0.5625,0.5625,10108000
29740,0.5625,0.566964,0.5625,0.5625,9861600
29741,0.573661,0.575893,0.573661,0.573661,14016800
29742,0.566964,0.566964,0.564732,0.564732,14420000
29745,0.546875,0.546875,0.544643,0.544643,23374400
29746,0.555804,0.558036,0.555804,0.555804,29898400
29747,0.5625,0.569196,0.5625,0.5625,6305600
29748,0.587054,0.589286,0.587054,0.587054,9744000
29749,0.582589,0.582589,0.580357,0.580357,6451200
29752,0.580357,0.580357,0.578125,0.578125,35940800
29753,0.569196,0.569196,0.566964,0.566964,9312800
29754,0.560268,0.560268,0.558036,0.558036,6893600
29755,0.558036,0.560268,0.555804,0.555804,5762400
29756,0.542411,0.542411,0.540179,0.540179,6876800
29759,0.522321,0.522321,0.520089,0.520089,2710400
29760,0.529018,0.533482,0.529018,0.529018,3757600
29761,0.520089,0.520089,0.515625,0.515625,5756800
29762,0.526786,0.529018,0.526786,0.526786,6064800
29763,0.524554,0.524554,0.520089,0.520089,5947200
29766,0.506696,0.506696,0.502232,0.502232,2648800
29767,0.466518,0.466518,0.464286,0.464286,8976800
29768,0.462054,0.462054,0.459821,0.459821,42616000
29769,0.459821,0.462054,0.459821,0.459821,7571200
29773,0.448661,0.448661,0.444196,0.444196,4132800
29774,0.448661,0.453125,0.448661,0.448661,3959200
29775,0.466518,0.46875,0.466518,0.466518,4155200
29776,0.433036,0.433036,0.430804,0.430804,8220800
29777,0.399554,0.399554,0.397321,0.397321,13792800
29780,0.40625,0.408482,0.40625,0.40625,11435200
29781,0.424107,0.428571,0.424107,0.424107,4944800
29782,0.435268,0.4375,0.435268,0.435268,2738400
29783,0.446429,0.450893,0.446429,0.446429,3808000
